NU_ANO_SAEB,CO_UF,SG_UF,NO_UF,CO_MUNICIPIO,NO_MUNICIPIO,ID_ESCOLA,NO_ESCOLA,TP_TIPO_REDE,TP_LOCALIZACAO,TP_CAPITAL,QTD_ALUNOS_INSE,MEDIA_INSE,INSE_CLASSIFICACAO,PC_NIVEL_1,PC_NIVEL_2,PC_NIVEL_3,PC_NIVEL_4,PC_NIVEL_5,PC_NIVEL_6,PC_NIVEL_7,PC_NIVEL_8
2021,11,RO,Rondônia,1100015,"Alta Floresta D'Oeste",11024372,"EMEIEF ANA NERY",3,1,2,9,"4,74","Nível IV",0,"11,11",0,"55,56","22,22","11,11",0,0
2021,11,RO,Rondônia,1100015,"Alta Floresta D'Oeste",11024666,"EMEIEF BOA ESPERANCA",3,2,2,27,"4,84","Nível IV",0,"11,08","11,15","40,79","22,23","7,34","7,41",0
